,name,link,Academics,Value,Diversity,Campus,Athletics,Party_Scene,Professors,Location,Dorms,Campus_Food,Student_Life,Safety,des,street,city,state,zip,Accept_Rate,SAT,ACT,Application_fee,Price_per_year,major_rank,Acceptance Rate,Total_Applicants,SAT Range,SAT Reading,SAT Math,Students Submitting SAT
283,Arizona State University - Downtown Phoenix Campus,https://www.niche.com/colleges/arizona-state-university---downtown-phoenix-campus/,B,A-,A,A-,NG,B+,B,B+,B+,B+,A,B-,"ASU - Downtown Phoenix is an above-average public university located in Phoenix, Arizona. It is a mid-size institution with an enrollment of 7,956 undergraduate students. Admissions is somewhat competitive as the ASU - Downtown Phoenix acceptance rate is 77%. Popular majors include Criminal Justice and Law Enforcement Administration, Physical Education Teaching and Coaching, and Journalism. Graduating 66% of students, ASU - Downtown Phoenix alumni go on to earn a starting salary of $36,700.",411 N Central Ave,Phoenix,AZ,85004,77%,1070-1260,21-26,$50 ,"$12,299 ","Criminal Justice and Law Enforcement Administration; Physical Education Teaching and Coaching; Journalism; Nursing; Foods, Nutrition, and Wellness Studies; Social Work and Youth Services; Health Service Preparatory Studies; Hospitality and Tourism Management; Kinesiology and Exercise Science; Homeland Security and Disaster Management; ",77%,"5,340",1070-1260,540-640,530-620,48%
284,Dallas Baptist University,https://www.niche.com/colleges/dallas-baptist-university/,B+,B+,B+,A,B+,C,B,B+,A,B-,B+,A,"Dallas Baptist is an above-average private, Christian university located in Dallas, Texas. It is a small institution with an enrollment of 2,423 undergraduate students. Admissions is fairly competitive as the Dallas Baptist acceptance rate is 39%. Popular majors include Liberal Arts and Humanities, Business, and Psychology. Graduating 58% of students, Dallas Baptist alumni go on to earn a starting salary of $37,900.",3000 Mountain Creek Parkway,Dallas,TX,75211,39%,1090-1250,19-24,$25 ,"$25,693 ",Liberal Arts and Humanities; Business; Psychology; Religious Education; Communications; Biology; Physical Education Teaching and Coaching; Music Management; Marketing; Finance; ,39%,"3,770",1090-1250,560-640,530-610,44%
285,Stonehill College,https://www.niche.com/colleges/stonehill-college/,B+,A+,B,B,B+,B-,B+,C-,B,B,B,B-,"Stonehill is an above-average private, Catholic college located in Easton, Massachusetts in the Boston Area. It is a small institution with an enrollment of 2,482 undergraduate students. Admissions is somewhat competitive as the Stonehill acceptance rate is 72%. Popular majors include Psychology, Criminology, and Biology. Graduating 80% of students, Stonehill alumni go on to earn a starting salary of $44,900.",320 Washington Street,Easton,MA,2357,72%,1030-1230,24-27,$60 ,"$33,583 ",Psychology; Criminology; Biology; Liberal Arts and Humanities; Accounting; Communications; Finance; Marketing; English; Economics; ,72%,"6,260",1030-1230,520-620,530-630,84%
286,Loras College,https://www.niche.com/colleges/loras-college/,B,A,B+,B+,B,B,B,B-,B+,B-,A-,B-,"Loras is an above-average private, Catholic college located in Dubuque, Iowa. It is a small institution with an enrollment of 1,335 undergraduate students. The Loras acceptance rate is 95%. Popular majors include Psychology, Business, and Criminal Justice and Safety Studies. Graduating 68% of students, Loras alumni go on to earn a starting salary of $35,200.",1450 Alta Vista,Dubuque,IA,52004,95%,1030-1170,20-26,$0 ,"$19,583 ",Psychology; Business; Criminal Justice and Safety Studies; Social Work and Youth Services; Marketing; Finance; Communications; Kinesiology and Exercise Science; Public Relations; Accounting; ,95%,"1,161",1030-1170,500-580,530-600,2%
287,William Carey University,https://www.niche.com/colleges/william-carey-university/,B+,B+,B+,B,B-,C+,B+,B-,A-,B,B,A-,"William Carey is an above-average private, Christian university located in Hattiesburg, Mississippi. It is a small institution with an enrollment of 1,676 undergraduate students. Admissions is fairly competitive as the William Carey acceptance rate is 49%. Popular majors include Nursing, Psychology, and Business. Graduating 57% of students, William Carey alumni go on to earn a starting salary of $29,200.",498 Tuscan Ave,Hattiesburg,MS,39401,49%,990-1160,21-28,$40 ,"$16,293 ",Nursing; Psychology; Business; Liberal Arts and Humanities; Biology; Physical Education Teaching and Coaching; Police and Criminal Science; Elementary Education; English; Biblical Studies; ,49%,891,990-1160,500-560,490-600,14%
288,University of Nevada - Reno,https://www.niche.com/colleges/university-of-nevada---reno/,B+,B+,A,B+,A,A,A-,B,B,B-,A-,B-,"Nevada - Reno is an above-average public university located in Reno, Nevada. It is a large institution with an enrollment of 15,572 undergraduate students. The Nevada - Reno acceptance rate is 88%. Popular majors include Foods, Nutrition, and Wellness Studies, Psychology, and Business. Graduating 55% of students, Nevada - Reno alumni go on to earn a starting salary of $35,300.",North Virginia Street,Reno,NV,89557,88%,1070-1260,21-26,$60 ,"$16,230 ","Foods, Nutrition, and Wellness Studies; Psychology; Business; Biology; Criminology; Nursing; Marketing; Mechanical Engineering; Human Development; Journalism; ",88%,"9,721",1070-1260,540-630,530-630,52%
289,Jefferson College of Health Sciences,https://www.niche.com/colleges/jefferson-college-of-health-sciences/,B,A-,B-,A-,NG,NG,B,B+,NG,NG,A,A,"Jefferson Health Sciences is an above-average private college located in Roanoke, Virginia. It is a small institution with an enrollment of 615 undergraduate students. Admissions is fairly competitive as the Jefferson Health Sciences acceptance rate is 39%. Popular majors include Nursing, Physical Therapy Technician, and Health Professions. Graduating 46% of students, Jefferson Health Sciences alumni go on to earn a starting salary of $45,000.",101 Elm Avenue SE,Roanoke,VA,24013,39%,930-1160,19-25,$35 ,"$29,398 ",Nursing; Physical Therapy Technician; Health Professions; Occupational Therapist Assistant; Healthcare Management; Respiratory Care Therapy; Emergency Medical Technician (EMT Paramedic); Surgical Technologist; Medical Laboratory Technician; Kinesiology and Exercise Science; ,39%,510,930-1160,480-600,450-560,96%
290,Oregon Institute of Technology,https://www.niche.com/colleges/oregon-institute-of-technology/,B,A,A-,C+,B-,C+,B,C,B-,B-,B-,B+,"Oregon Tech is an above-average public college located in Klamath Falls, Oregon. It is a small institution with an enrollment of 2,284 undergraduate students. Admissions is somewhat competitive as the Oregon Tech acceptance rate is 61%. Popular majors include Sonographer and Ultrasound Technician, Dental Hygiene, and Medical Technician. Graduating 45% of students, Oregon Tech alumni go on to earn a starting salary of $53,700.",3201 Campus Drive,Klamath Falls,OR,97601,61%,1040-1230,21-26,$50 ,"$16,503 ",Sonographer and Ultrasound Technician; Dental Hygiene; Medical Technician; Computer Engineering Technician; Mechanical Engineering; Radiologic Technician; Electrical Engineering; Psychology; Engineering; Respiratory Care Therapy; ,61%,"1,314",1040-1230,520-620,520-610,75%
291,University of Washington - Tacoma,https://www.niche.com/colleges/university-of-washington---tacoma/,B-,A,A,A-,NG,C+,B+,B+,NG,A-,B+,A-,"UW Tacoma is an above-average public university located in Tacoma, Washington in the Seattle Area. It is a small institution with an enrollment of 3,945 undergraduate students. The UW Tacoma acceptance rate is 84%. Popular majors include Information Science, Psychology, and Communications. Graduating 58% of students, UW Tacoma alumni go on to earn a starting salary of $42,800.",1900 Commerce St,Tacoma,WA,98402,84%,980-1190,18-24,$60 ,"$8,674 ",Information Science; Psychology; Communications; Accounting; Business; Liberal Arts and Humanities; Nursing; Social Sciences; Police and Criminal Science; Information Technology; ,84%,"1,982",980-1190,490-600,490-590,92%
292,University of North Dakota,https://www.niche.com/colleges/university-of-north-dakota/,B+,A-,A-,B,A,A-,B+,B-,B-,A-,A-,B,"UND is an above-average public university located in Grand Forks, North Dakota. It is a mid-size institution with an enrollment of 8,525 undergraduate students. The UND acceptance rate is 83%. Popular majors include Liberal Arts and Humanities, Nursing, and Psychology. Graduating 54% of students, UND alumni go on to earn a starting salary of $40,200.","264 Centennial Drive, Stop 8193",Grand Forks,ND,58202,83%,1050-1270,21-26,$35 ,"$14,478 ",Liberal Arts and Humanities; Nursing; Psychology; Communications; Medical Laboratory Technician; Accounting; Professional Pilot; Mechanical Engineering; Air Transportation; Marketing; ,83%,"5,230",1050-1270,530-630,520-640,1%
293,California State University - Fullerton,https://www.niche.com/colleges/california-state-university---fullerton/,B,A-,A,B+,B+,B+,B,A-,NG,A-,A-,B+,"Cal State Fullerton is an above-average public university located in Fullerton, California in the Los Angeles Area. It is a large institution with an enrollment of 28,475 undergraduate students. Admissions is fairly competitive as the Cal State Fullerton acceptance rate is 46%. Popular majors include Business, Communications, and Psychology. Graduating 66% of students, Cal State Fullerton alumni go on to earn a starting salary of $33,300.",800 N State College Blvd,Fullerton,CA,92831,46%,1020-1180,19-24,$55 ,"$8,562 ",Business; Communications; Psychology; Health Service Preparatory Studies; Early Childhood Education; Physical Education Teaching and Coaching; Sociology; Criminal Justice and Safety Studies; Nursing; Human Services; ,46%,"45,808",1020-1180,510-590,510-590,92%
294,Winthrop University,https://www.niche.com/colleges/winthrop-university/,B+,B+,A-,A-,B+,B,B+,C+,B-,B,B+,B,"Winthrop is an above-average public university located in Rock Hill, South Carolina in the Charlotte Area. It is a small institution with an enrollment of 4,488 undergraduate students. Admissions is somewhat competitive as the Winthrop acceptance rate is 73%. Popular majors include Business, Psychology, and Biology. Graduating 57% of students, Winthrop alumni go on to earn a starting salary of $28,600.",701 Oakland Ave,Rock Hill,SC,29733,73%,980-1200,19-25,$40 ,"$16,970 ",Business; Psychology; Biology; Kinesiology and Exercise Science; Social Work and Youth Services; Early Childhood Education; Education; Sociology; Political Science and Government; Public Relations; ,73%,"4,573",980-1200,500-620,480-580,28%
295,Gannon University,https://www.niche.com/colleges/gannon-university/,B,A,A,B-,B+,A-,B+,B,B,B,A-,B-,"Gannon is an above-average private, Catholic university located in Erie, Pennsylvania. It is a small institution with an enrollment of 2,530 undergraduate students. Admissions is somewhat competitive as the Gannon acceptance rate is 80%. Popular majors include Health Professions, Kinesiology and Exercise Science, and Nursing. Graduating 68% of students, Gannon alumni go on to earn a starting salary of $37,900.",109 W Sixth St,Erie,PA,16541,80%,990-1220,20-26,$25 ,"$21,793 ",Health Professions; Kinesiology and Exercise Science; Nursing; Biology; Electrical Engineering; Criminal Justice and Safety Studies; Accounting; Business; Mechanical Engineering; Chemistry; ,80%,"4,642",990-1220,500-610,490-610,80%
296,Saint Mary's College - Indiana,https://www.niche.com/colleges/saint-marys-college---indiana/,B,A,B+,B,NG,B,B+,B-,B+,C,A-,A-,"Saint Mary's is an above-average private, Catholic college located in Portage Township, Indiana in the South Bend Area. It is a small institution with an enrollment of 1,486 undergraduate students. Admissions is somewhat competitive as the Saint Mary's acceptance rate is 78%. Popular majors include Nursing, Communication Disorders, and Biology. Graduating 79% of students, Saint Mary's alumni go on to earn a starting salary of $40,900.",133 Le Mans Hall,Notre Dame,IN,46556,78%,1030-1250,23-29,$0 ,"$26,664 ",Nursing; Communication Disorders; Biology; Business; Psychology; Communications; Elementary Education; Social Work and Youth Services; Accounting; Arts; ,78%,"1,830",1030-1250,530-630,500-620,54%
297,California State University - Chico,https://www.niche.com/colleges/california-state-university---chico/,B,A-,A-,A-,B,A+,B+,B+,B,B+,A,B-,"Cal State Chico is an above-average public university located in Chico, California. It is a large institution with an enrollment of 15,446 undergraduate students. Admissions is somewhat competitive as the Cal State Chico acceptance rate is 68%. Popular majors include Business, Psychology, and Liberal Arts and Humanities. Graduating 66% of students, Cal State Chico alumni go on to earn a starting salary of $34,800.",First and Normal Sts,Chico,CA,95929,68%,990-1170,19-25,$55 ,"$14,185 ","Business; Psychology; Liberal Arts and Humanities; Criminal Justice and Safety Studies; Kinesiology and Exercise Science; Health Service Preparatory Studies; Design and Visual Communications; Nursing; Sociology; Parks, Recreation and Leisure Studies; ",68%,"23,305",990-1170,500-590,490-580,85%
298,Wayne State University,https://www.niche.com/colleges/wayne-state-university/,B+,B+,A,B,B,B+,A,B+,B-,A-,B+,B-,"Wayne State is an above-average public university located in Detroit, Michigan. It is a large institution with an enrollment of 12,389 undergraduate students. Admissions is somewhat competitive as the Wayne State acceptance rate is 67%. Popular majors include Psychology, Biology, and Social Work and Youth Services. Graduating 47% of students, Wayne State alumni go on to earn a starting salary of $30,900.",656 West Kirby Street,Detroit,MI,48202,67%,1000-1210,21-28,$25 ,"$13,287 ",Psychology; Biology; Social Work and Youth Services; International Business; Health Professions; Nursing; Arts; Organizational Behavior Studies; Criminal Justice and Safety Studies; Marketing; ,67%,"15,331",1000-1210,500-610,500-600,80%
299,University of Memphis,https://www.niche.com/colleges/university-of-memphis/,B+,B+,A,A-,A,A-,B+,B,B,A,A-,C+,"Memphis is an above-average public university located in Memphis, Tennessee. It is a large institution with an enrollment of 12,400 undergraduate students. The Memphis acceptance rate is 85%. Popular majors include Liberal Arts and Humanities, Nursing, and Kinesiology and Exercise Science. Graduating 43% of students, Memphis alumni go on to earn a starting salary of $29,700.",Southern Avenue,Memphis,TN,38152,85%,1010-1230,19-25,$25 ,"$13,663 ",Liberal Arts and Humanities; Nursing; Kinesiology and Exercise Science; Accounting; Psychology; Criminal Justice and Law Enforcement Administration; Business; Middle School Education; Biology; Marketing; ,85%,"13,741",1010-1230,510-630,500-600,4%
300,Beloit College,https://www.niche.com/colleges/beloit-college/,A-,A-,A,C+,C+,B,B+,C,B,B-,B,C,"Beloit is an above-average private college located in Beloit, Wisconsin. It is a small institution with an enrollment of 1,346 undergraduate students. Admissions is fairly competitive as the Beloit acceptance rate is 54%. Popular majors include Liberal Arts and Humanities, Political Science and Government, and Psychology. Graduating 86% of students, Beloit alumni go on to earn a starting salary of $29,500.",700 College St,Beloit,WI,53511,54%,1065-1370,24-30,$0 ,"$26,976 ",Liberal Arts and Humanities; Political Science and Government; Psychology; Chemistry; Anthropology; Education; Creative Writing; International Relations; History; Studio Arts; ,54%,"5,400",1065-1370,520-680,545-690,25%
301,Eastern Mennonite University,https://www.niche.com/colleges/eastern-mennonite-university/,B+,A-,A-,B,B-,C+,B,B+,A-,C+,B,B+,"Eastern Mennonite is an above-average private, Christian university located in Harrisonburg, Virginia. It is a small institution with an enrollment of 942 undergraduate students. Admissions is fairly competitive as the Eastern Mennonite acceptance rate is 54%. Popular majors include Nursing, Liberal Arts and Humanities, and Biology. Graduating 63% of students, Eastern Mennonite alumni go on to earn a starting salary of $33,100.",1200 Park Rd,Harrisonburg,VA,22802,54%,990-1170,20-28,$25 ,"$23,952 ",Nursing; Liberal Arts and Humanities; Biology; Business; Social Work and Youth Services; Organizational Behavior Studies; Psychology; Digital Communication and Media/Multimedia; Computer Science; History; ,54%,"1,232",990-1170,500-590,490-580,84%
302,SUNY Maritime College,https://www.niche.com/colleges/suny-maritime-college/,B,A+,B+,C,B-,C+,B-,A-,C+,C-,C,A-,"Maritime College is an above-average public college located in The Bronx, New York in the New York City Area. It is a small institution with an enrollment of 1,581 undergraduate students. Admissions is somewhat competitive as the Maritime College acceptance rate is 69%. Popular majors include Marine Science, Business Support Services, and Mechanical Engineering. Graduating 63% of students, Maritime College alumni go on to earn a starting salary of $59,200.",6 Pennyfield Avenue,Throggs Neck,NY,10465,69%,1100-1250,22-26,$50 ,"$16,291 ",Marine Science; Business Support Services; Mechanical Engineering; Engineering; Electrical Engineering; Industrial Engineering; Atmospheric Sciences and Meteorology; Engineering Technician; Liberal Arts and Humanities; ,69%,"1,272",1100-1250,550-620,550-630,83%
303,University of Nebraska at Kearney,https://www.niche.com/colleges/university-of-nebraska-at-kearney/,B+,B+,A-,B,B+,A,B,A-,B+,B,A,B,"UNK is an above-average public university located in Kearney, Nebraska. It is a small institution with an enrollment of 4,063 undergraduate students. The UNK acceptance rate is 82%. Popular majors include Business, Elementary Education, and Operations Management. Graduating 61% of students, UNK alumni go on to earn a starting salary of $32,300.",2504 9th Ave,Kearney,NE,68849,82%,1040-1140,19-25,$45 ,"$15,909 ","Business; Elementary Education; Operations Management; Parks, Recreation and Leisure Studies; Psychology; Family Studies and Consumer Sciences; Special Education and Teaching; Criminal Justice and Safety Studies; Sport and Fitness Management; Social Work and Youth Services; ",82%,"5,911",1040-1140,510-560,520-590,1%
304,University of North Alabama,https://www.niche.com/colleges/university-of-north-alabama/,B+,B,A-,A-,B+,B,B+,B+,B+,A,A-,B,"North Alabama is an above-average public university located in Florence, Alabama. It is a mid-size institution with an enrollment of 5,141 undergraduate students. Admissions is somewhat competitive as the North Alabama acceptance rate is 70%. Popular majors include Nursing, Business, and Communications. Graduating 45% of students, North Alabama alumni go on to earn a starting salary of $27,600.",One Harrison Plaza,Florence,AL,35632,70%,970-1190,19-25,$35 ,"$12,103 ","Nursing; Business; Communications; Elementary Education; Parks, Recreation and Leisure Studies; Marketing; Social Work and Youth Services; Accounting; Biology; Finance; ",70%,"3,969",970-1190,520-610,460-580,2%
305,Simmons College,https://www.niche.com/colleges/simmons-college/,B+,A,A-,C,NG,B-,B+,A+,D,C,C+,B+,"Simmons is an above-average private college located in Boston, Massachusetts. It is a small institution with an enrollment of 1,553 undergraduate students. Admissions is somewhat competitive as the Simmons acceptance rate is 60%. Popular majors include Nursing, Kinesiology and Exercise Science, and Communications. Graduating 73% of students, Simmons alumni go on to earn a starting salary of $44,400.",300 The Fenway,Boston,MA,2115,60%,1130-1310,24-29,$55 ,"$29,690 ",Nursing; Kinesiology and Exercise Science; Communications; Business; Cognitive Science; Psychology; Public Health Education; Economics; Finance; Social Work and Youth Services; ,60%,"3,483",1130-1310,580-660,550-650,86%
306,Albion College,https://www.niche.com/colleges/albion-college/,B+,A,A-,C,B-,B,A,D,C,C+,B-,C+,"Albion is an above-average private, Christian college located in Albion, Michigan. It is a small institution with an enrollment of 1,554 undergraduate students. Admissions is somewhat competitive as the Albion acceptance rate is 71%. Popular majors include Economics, Biology, and Psychology. Graduating 57% of students, Albion alumni go on to earn a starting salary of $34,300.",611 E Porter St,Albion,MI,49224,71%,1010-1200,20-26,$0 ,"$19,913 ",Economics; Biology; Psychology; Communications; Business; Kinesiology and Exercise Science; Finance; Political Science and Government; Physics; Spanish Language and Literature; ,71%,"3,884",1010-1200,510-610,500-590,65%
307,Bellarmine University,https://www.niche.com/colleges/bellarmine-university/,B,A,B+,A-,A-,B,B+,A-,B+,B-,A-,A,"Bellarmine is an above-average private, Catholic university located in Louisville, Kentucky. It is a small institution with an enrollment of 2,410 undergraduate students. The Bellarmine acceptance rate is 89%. Popular majors include Nursing, Psychology, and Business. Graduating 65% of students, Bellarmine alumni go on to earn a starting salary of $38,300.",2001 Newburg Rd,Louisville,KY,40205,89%,1050-1210,22-27,$0 ,"$24,711 ",Nursing; Psychology; Business; Communications; Kinesiology and Exercise Science; Biology; Special Education and Teaching; Elementary Education; Finance; Accounting; ,89%,"5,692",1050-1210,530-610,520-600,16%
308,Salisbury University,https://www.niche.com/colleges/salisbury-university/,B+,A-,A-,B+,B-,A-,B+,C,B+,A,B+,B-,"Salisbury is an above-average public university located in Maryland. It is a mid-size institution with an enrollment of 7,191 undergraduate students. Admissions is somewhat competitive as the Salisbury acceptance rate is 65%. Popular majors include Kinesiology and Exercise Science, Communications, and Psychology. Graduating 71% of students, Salisbury alumni go on to earn a starting salary of $36,600.",1101 Camden Ave,Salisbury,MD,21801,65%,1080-1230,22-26,$50 ,"$18,374 ",Kinesiology and Exercise Science; Communications; Psychology; Social Work and Youth Services; Elementary Education; Biology; Business; Nursing; Information Science; Marketing; ,65%,"8,171",1080-1230,530-610,540-620,58%
309,Roanoke College,https://www.niche.com/colleges/roanoke-college/,B+,A-,B+,B+,B-,B,A-,B-,B+,B+,B+,B-,"Roanoke is an above-average private, Christian college located in Salem, Virginia in the Roanoke Area. It is a small institution with an enrollment of 1,973 undergraduate students. Admissions is somewhat competitive as the Roanoke acceptance rate is 67%. Popular majors include Business, Psychology, and Biology. Graduating 67% of students, Roanoke alumni go on to earn a starting salary of $34,800.",221 College Lane,Salem,VA,24153,67%,1040-1230,22-27,$30 ,"$29,573 ",Business; Psychology; Biology; Communications; Kinesiology and Exercise Science; Sociology; History; Criminal Justice and Safety Studies; International Relations; Creative Writing; ,67%,"5,117",1040-1230,530-630,510-600,81%
310,University of St. Francis - Illinois,https://www.niche.com/colleges/university-of-st-francis---illinois/,B,A,A-,B-,B,B-,B-,C+,B,B+,B,B+,"St. Francis - Illinois is an above-average private, Catholic university located in Joliet, Illinois in the Chicago Area. It is a small institution with an enrollment of 1,291 undergraduate students. Admissions is fairly competitive as the St. Francis - Illinois acceptance rate is 52%. Popular majors include Nursing, Healthcare Management, and Biology. Graduating 63% of students, St. Francis - Illinois alumni go on to earn a starting salary of $44,600.",500 Wilcox St,Joliet,IL,60435,52%,1030-1240,20-25,$0 ,"$18,766 ","Nursing; Healthcare Management; Biology; Parks, Recreation and Leisure Studies; Elementary Education; Management Sciences and Information Systems; Criminal Justice and Law Enforcement Administration; Psychology; Accounting; Marketing; ",52%,"1,560",1030-1240,490-630,540-610,6%
311,Ursinus College,https://www.niche.com/colleges/ursinus-college/,B+,A-,A-,C+,B,B,A-,C,B-,B-,B-,C,"Ursinus is an above-average private college located in Collegeville, Pennsylvania in the Philadelphia Area. It is a small institution with an enrollment of 1,489 undergraduate students. Admissions is somewhat competitive as the Ursinus acceptance rate is 78%. Popular majors include Biology, Economics, and Psychology. Graduating 77% of students, Ursinus alumni go on to earn a starting salary of $36,500.",601 E. Main St,Collegeville,PA,19426,78%,1110-1310,24-30,$0 ,"$31,812 ",Biology; Economics; Psychology; Communications; Exercise Physiology; Neuroscience and Neurobiology; English; Environmental Science; History; Biochemistry and Molecular Biology; ,78%,"3,488",1110-1310,560-660,550-650,64%
312,University of South Florida - St. Petersburg,https://www.niche.com/colleges/university-of-south-florida---st-petersburg/,B+,B,A,B,NG,B,A-,A+,B,B-,B,B+,"South Florida - St. Petersburg is an above-average public university located in St. Petersburg, Florida in the Tampa Area. It is a small institution with an enrollment of 2,845 undergraduate students. Admissions is fairly competitive as the South Florida - St. Petersburg acceptance rate is 40%. Popular majors include Biology, Psychology, and Accounting. Graduating 36% of students, South Florida - St. Petersburg alumni go on to earn a starting salary of $34,600.",140 Seventh Ave S.,St. Petersburg,FL,33701,40%,1080-1230,22-26,$30 ,"$11,419 ",Biology; Psychology; Accounting; Education; Liberal Arts and Humanities; Finance; Business; Criminology; Social Science Research Methods; Marketing; ,40%,"5,575",1080-1230,550-630,530-600,66%
313,Towson University,https://www.niche.com/colleges/towson-university/,B,A,A,B+,A-,A,B-,B+,B,B+,A,B+,"Towson is an above-average public university located in Towson, Maryland in the Baltimore Area. It is a large institution with an enrollment of 17,106 undergraduate students. Admissions is somewhat competitive as the Towson acceptance rate is 77%. Popular majors include Business, Communications, and Psychology. Graduating 72% of students, Towson alumni go on to earn a starting salary of $39,400.",8000 York Rd,Towson,MD,21252,77%,1060-1210,21-25,$45 ,"$15,250 ",Business; Communications; Psychology; Nursing; Social Sciences; Accounting; Kinesiology and Exercise Science; Biology; Elementary Education; Sport and Fitness Management; ,77%,"12,747",1060-1210,540-610,520-600,83%
314,Westminster College - Utah,https://www.niche.com/colleges/westminster-college---utah/,B,A-,A,B+,B,B+,B+,A-,B,B-,B+,C+,"Westminster - Utah is an above-average private college located in Salt Lake City, Utah. It is a small institution with an enrollment of 1,906 undergraduate students. The Westminster - Utah acceptance rate is 93%. Popular majors include Nursing, Marketing, and Business. Graduating 62% of students, Westminster - Utah alumni go on to earn a starting salary of $36,700.",1840 South 1300 East,Salt Lake City,UT,84105,93%,1060-1270,21-28,$50 ,"$23,608 ",Nursing; Marketing; Business; Finance; Accounting; Public Health; Environmental Science; Neuroscience and Neurobiology; Biology; Aeronautics and Aviation Technology; ,100%,"1,702",1060-1270,530-640,530-630,26%
315,Sarah Lawrence College,https://www.niche.com/colleges/sarah-lawrence-college/,A,B+,A,C-,C-,C+,A-,C+,D+,C,C,C+,"Sarah Lawrence is an above-average private college located in Yonkers, New York in the New York City Area. It is a small institution with an enrollment of 1,384 undergraduate students. Admissions is fairly competitive as the Sarah Lawrence acceptance rate is 53%. The only major offered is Liberal Arts and Humanities. Graduating 79% of students, Sarah Lawrence alumni go on to earn a starting salary of $28,900.",One Meadway,Bronxville,NY,10708,53%,1240-1410,27-31,$60 ,"$39,371 ",Liberal Arts and Humanities; ,53%,"3,463",1240-1410,650-730,590-680,39%
316,Otterbein University,https://www.niche.com/colleges/otterbein-university/,B,A-,B+,B+,B,B,B,A,B-,B-,A-,B+,"Otterbein is an above-average private, Christian university located in Westerville, Ohio in the Columbus Area. It is a small institution with an enrollment of 2,294 undergraduate students. Admissions is somewhat competitive as the Otterbein acceptance rate is 76%. Popular majors include Nursing, Health Service Preparatory Studies, and Business. Graduating 64% of students, Otterbein alumni go on to earn a starting salary of $33,900.",1 South Grove Street,Westerville,OH,43081,76%,1040-1300,21-27,$35 ,"$24,402 ",Nursing; Health Service Preparatory Studies; Business; Communications; Psychology; Public Relations; Sport and Fitness Management; Early Childhood Education; Athletic Training; Biochemistry and Molecular Biology; ,76%,"3,119",1040-1300,520-660,520-650,20%
317,University of Wisconsin - Whitewater,https://www.niche.com/colleges/university-of-wisconsin---whitewater/,B,A-,A-,B+,A,A,B+,C+,B,B,A,B+,"Wisconsin - Whitewater is an above-average public university located in Whitewater, Wisconsin. It is a mid-size institution with an enrollment of 9,830 undergraduate students. Admissions is somewhat competitive as the Wisconsin - Whitewater acceptance rate is 70%. Popular majors include Finance, Liberal Arts and Humanities, and Communications. Graduating 62% of students, Wisconsin - Whitewater alumni go on to earn a starting salary of $34,700.",800 West Main Street,Whitewater,WI,53190,70%,890-1110,20-24,$50 ,"$12,422 ",Finance; Liberal Arts and Humanities; Communications; Marketing; Accounting; Business; Physical Education Teaching and Coaching; Social Work and Youth Services; Biology; Psychology; ,70%,"6,745",890-1110,420-520,470-590,0%
318,Birmingham-Southern College,https://www.niche.com/colleges/birmingham-southern-college/,B+,A-,B+,C+,B,A-,B,B-,C,C+,B+,C+,"Birmingham-Southern is an above-average private, Christian college located in Birmingham, Alabama. It is a small institution with an enrollment of 1,272 undergraduate students. Admissions is somewhat competitive as the Birmingham-Southern acceptance rate is 62%. Popular majors include Business, Biology, and Psychology. Graduating 66% of students, Birmingham-Southern alumni go on to earn a starting salary of $32,100.",900 Arkadelphia Road,Birmingham,AL,35254,62%,1030-1260,23-29,$50 ,"$23,846 ",Business; Biology; Psychology; Mathematics; Education; English; Communications; Political Science and Government; Accounting; History; ,62%,"2,559",1030-1260,520-630,510-630,18%
319,California Baptist University,https://www.niche.com/colleges/california-baptist-university/,B,B,A-,A+,A-,C-,B,B-,A+,A+,A,B+,"Cal Baptist is an above-average private, Christian university located in Riverside, California in the Los Angeles Area. It is a mid-size institution with an enrollment of 6,367 undergraduate students. Admissions is somewhat competitive as the Cal Baptist acceptance rate is 77%. Popular majors include Business, Nursing, and Psychology. Graduating 59% of students, Cal Baptist alumni go on to earn a starting salary of $32,600.",8432 Magnolia Ave,Riverside,CA,92504,77%,980-1190,19-25,$45 ,"$25,714 ",Business; Nursing; Psychology; Kinesiology and Exercise Science; Liberal Arts and Humanities; Criminal Justice and Law Enforcement Administration; Communications; Accounting; Biology; Health Service Preparatory Studies; ,77%,"5,039",980-1190,500-600,480-590,77%
320,Arizona State University - West Campus,https://www.niche.com/colleges/arizona-state-university---west-campus/,B,A,A,B,NG,C+,B,B-,B,C+,B+,B,"Arizona State West is an above-average public university located in Phoenix, Arizona. It is a small institution with an enrollment of 3,078 undergraduate students. Admissions is somewhat competitive as the Arizona State West acceptance rate is 80%. Popular majors include Psychology, Business Support Services, and Communications. Graduating 58% of students, Arizona State West alumni go on to earn a starting salary of $36,700.",4701 W Thunderbird Road,Glendale,AZ,85306,80%,1040-1250,20-25,$50 ,"$10,057 ",Psychology; Business Support Services; Communications; Biology; High School Education; Liberal Arts and Humanities; Political Science and Government; Special Education and Teaching; Accounting; Elementary Education; ,80%,"2,231",1040-1250,530-630,510-620,39%
