,name,link,Acceptance Rate,Total_Applicants,SAT Range,SAT Reading,SAT Math,Students Submitting SAT,ACT Range,ACT English,ACT Math,ACT Writing,Students Submitting ACT
87,University of Minnesota - Twin Cities,https://www.niche.com/colleges/university-of-minnesota---twin-cities/admissions,50%,"43,720",1270-1480,620-720,650-760,13%,26-31,25-32,26-31,9-Aug,92%
88,Penn State,https://www.niche.com/colleges/penn-state/admissions,50%,"56,114",1160-1340,580-660,580-680,65%,25-30,25-31,25-30,9-Aug,30%
89,Texas A&M University,https://www.niche.com/colleges/texas-a-and-m-university/admissions,71%,"36,669",1140-1360,570-670,570-690,55%,25-30,23-31,24-29,8-Jun,45%
90,The Ohio State University,https://www.niche.com/colleges/the-ohio-state-university/admissions,48%,"47,782",1260-1450,610-700,650-750,29%,27-31,27-33,27-32,9-Aug,86%
91,Stevens Institute of Technology,https://www.niche.com/colleges/stevens-institute-of-technology/admissions,44%,"8,335",1320-1470,640-710,680-760,55%,29-33,27-34,28-33, ,42%
92,Pitzer College,https://www.niche.com/colleges/pitzer-college/admissions,16%,"3,753",1300-1450,590-700,600-670, ,29-32, , , , 
93,Mount Holyoke College,https://www.niche.com/colleges/mount-holyoke-college/admissions,51%,"3,446",1270-1460,640-710,630-750,48%,29-33,29-35,27-34, ,34%
94,North Carolina State University,https://www.niche.com/colleges/north-carolina-state-university/admissions,51%,"26,980",1230-1390,610-680,620-710,41%,26-31,25-32,25-30,8-Jul,60%
95,Santa Clara University,https://www.niche.com/colleges/santa-clara-university/admissions,54%,"15,061",1270-1440,630-710,640-730,47%,28-32, , , ,65%
96,Reed College,https://www.niche.com/colleges/reed-college/admissions,36%,"5,652",1310-1500,670-740,640-760,61%,30-33,30-35,27-33, ,56%
97,Villanova University,https://www.niche.com/colleges/villanova-university/admissions,36%,"21,123",1250-1440,620-710,630-730,39%,30-33,30-35,28-33, ,61%
98,Rose-Hulman Institute of Technology,https://www.niche.com/colleges/rose-hulman-institute-of-technology/admissions,61%,"4,473",1260-1450,610-690,650-760,52%,27-32,25-33,28-34, ,71%
99,Whitman College,https://www.niche.com/colleges/whitman-college/admissions,52%,"4,081",1140-1380,570-690,570-690,48%,28-32, , ,9-Aug,51%
100,Scripps College,https://www.niche.com/colleges/scripps-college/admissions,33%,"2,841",1290-1460,660-730,630-730,51%,29-33,31-35,27-32,10-Aug,61%
101,Clemson University,https://www.niche.com/colleges/clemson-university/admissions,47%,"26,242",1220-1390,620-690,600-700,39%,27-31,28-34,26-30, ,61%
